time,speaker,talk
3,Teacher,"All right, let me show you something from yesterday."
17,Teacher,"Given enough time, and enough... depth, what's gonna happen to the sediments?"
28,Teacher,"What's gonna happen, there Yolanda?"
30,Single student,It's gonna become cemented.
33,Teacher,That's good.
38,Teacher,"Now if- how are you gonna spot, how are you gonna identify sedimentary rock when you see it?"
49,Teacher,What's (it have)?
54,Single student,You have deposition.
56,Teacher,"Well, you're telling us certainly how it's made."
60,Single student,Yeah.
61,Teacher,"And, you know, that's certainly a good thing, all right? But I- I just want to come back to this."
69,New student,Yeah.
70,Teacher,"You know, we know how it's made."
73,Teacher,"Sediments get deposited, buried and cemented together, as Yolanda tells us, and it forms sedimentary rock."
83,Teacher,"But my question is, how are you gonna spot it, how are you gonna identify it when you see it?"
91,Teacher,"There's a lot of roads that are cut from sedimentary rock, and you can see it if you know what to look for."
100,Teacher,"What's that, Samuel?"
102,New student,When it- certain rocks might have layers on it.
105,Teacher,Oh.
113,Teacher,Let's see.
117,Teacher,Like that?
118,New student,Yeah.
119,New student,Yeah.
120,Teacher,"Now, how do you know that's sedimentary rock?"
121,New student,Because it's-
122,Teacher,"How do you know? How do you know? How do you know, Nikita? Look at it."
129,Single student,Because it's stuck together.
131,Teacher,How do you know it's stuck together?
133,New student,Because it's in layers.
135,Teacher,Say that.
136,Single student,Because it's in layers.
137,Teacher,Okay. That's what- who said that?
139,New student,Me.
140,Teacher,That's what Samuel said. Absolutely. Absolutely.
145,Teacher,"So, you know, just in a cross-section, looking at it from the side, it appears like that."
154,Teacher,"All right. Now, how do you- why do you suppose you can see the layers here? Because if this river wasn't here, you wouldn't see the layers."
162,Teacher,"What did the river do to the rock? At least the sedimentary rock? What's happening here, Corey?"
168,New student,(inaudible) make stratas.
170,Teacher,"That's good. You know, the word- that's a good word. Another word for layers are strata."
178,Teacher,"Okay, but what did the river do to the sedimentary rock?"
185,Teacher,"We did this. What is that, Eric?"
188,New student,It cuts into it.
189,Teacher,"That's right. So here's a wonderful example of a river- it's the Colorado River- cutting a canyon,"
197,Teacher,"and in canyons, if the river is cutting through sedimentary rock, you could see the layer. Now, let me ask you this."
205,Teacher,Suppose- and this was our little model from yesterday- suppose when the sediments got deposited in- in some ancient sea.
219,Teacher,Sorry.
221,Teacher,"Suppose- suppose an animal, the remains of an animal, got deposited in the river along with the sediments."
232,Teacher,"So now we have an animal, you know, that could have been buried... a million years ago, 10 million years ago, 50 million years ago."
245,Teacher,What do you think's gonna happen to that animal?
252,Teacher,"Rudy, what do you think?"
253,New student,"It's gonna blend into the rocks, with the rest of the sediments."
258,Teacher,"That's right. Now, there's a word for that. There's a word for that."
266,Teacher,"What's that, Sonia?"
268,New student,Becomes fossilized.
269,Teacher,That's good. Very good.
278,Teacher,"I'd love to pass it around, but since it's sedimentary rock- you can see the layers here- I'm afraid that it's gonna fall down and crack."
286,Teacher,"So I'll just come around. How do you like that, Terrence?"
292,New student,Like it.
293,Teacher,Huh?
307,Teacher,"You did good yesterday, Antwone. All right. Now, let me ask you another question."
314,Teacher,"Suppose we dig down further into the sedimentary rock, into a layer that's underneath it."
323,Teacher,"Maybe- maybe this fossil of a fish is found in here, and maybe something like this-"
337,Teacher,is found below it.
339,New student,What is that?
340,Teacher,"Well, it's called a brachiopod. And to us it looks like a clam. It's a shelled animal. If you had this fossil and you found it over here,"
358,Teacher,which would you say is older?
361,New student,The one at the bottom.
363,Teacher,Which would you say is older?
365,New student,Um-
368,Teacher,"What would you say, Aisha- Angela?"
371,New student,I'd say the one (inaudible).
372,Teacher,This one is older?
373,Single student,"No, //the other one"
374,New student,//No. The bottom one.
375,Teacher,Why is the bottom older?
376,New student,Because it's more down.
378,Teacher,That's right.
381,Teacher,So I- so obviously the- the strata or the layers on the bottom are older than the ones on the top.
389,Teacher,"Now, you could use this."
390,Teacher,This is how geologists go about figuring out what animal came first and what animal came second and what animal came third.
400,Teacher,"So it's almost like looking back in a book, where the pages at the bottom contain fossils that are older than the pages on the top."
414,Teacher,"All right. Now, let me show you something. Let me shut this. Corey, you want to get the lights for a minute?"
426,Teacher,Don't laugh.
427,New student,Oh.
429,Teacher,"Sonia, I told you not to laugh. Oh."
434,New student,I love your pants. Loving it.
440,Teacher,All right. Any idea where I am?
443,New student,It's-
444,Teacher,Any idea?
447,New student,"Yeah, um-"
452,Teacher,"Well, I don't mean the exact- I can tell you the exact location, but the type of landscape I'm on."
459,New student,Ice.
460,Teacher,"No. It's not ice, Samuel."
462,New student,It's a-
465,Teacher,Sonia?
466,New student,Is it a mountain?
467,Teacher,It's a kind of mountain.
469,Single student,A cliff?
470,Teacher,I don't know if you can call it a cliff.
473,New student,It's a rock.
475,Teacher,I'm standing on rock.
484,Teacher,"Sonia, got a clue here?"
489,Teacher,Delia. I'm sorry.
492,New student,No.
495,Teacher,Yolanda?
496,New student,"Maybe you're standing on a rock, and the sediments in the middle are eroding."
502,Teacher,No. That's not how this hole got here. All right. Rudy?
511,New student,"A river went in the (inaudible), and it dried out."
515,Teacher,"Let me tell you where it was, all right? This is in an island-"
522,Two or more students,Hawaii.
525,Teacher,Does that help? The island of Hawaii.
527,New student,Oh.
528,Teacher,Hawaiian islands-
529,New student,I got it.
530,Teacher,"There's many islands. The biggest one is- is Hawaii. The one that has the- the capital, Oahu- or Honolulu is on the island of Oahu."
539,Teacher,But there's something about the Hawaiian islands.
543,New student,Me.
544,Teacher,What is that? What was that? //Jeffrey?
546,New student,//They're all volcanoes.
547,New student,They're volcanoes.
548,Teacher,That's right.
549,New student,You're on a volcano.
551,New student,Volcano?
552,Teacher,"So I'm standing on a vol- near the top of a volcano. Now, if I'm standing on the top of a volcano,"
564,Teacher,Why am I not standing on sedimentary rock?
573,Teacher,Why do I have to be standing on another kind of rock that we're gonna call non-sedimentary at least for the time being? Why? Paola?
583,New student,Because the lava was probably (running or so)-
585,Teacher,Can't hear.
