time,speaker,talk
4,Teacher,This one. And something else yet. Which one is it?
13,New student,That one.
15,Teacher,This one.
24,Teacher,"So, good morning."
25,Entire class,Good morning.
26,Teacher,"So, kids. I think that we can start to work with enthusiasm. Let's see what we can do."
32,Teacher,"Before we even start. What are we trying to do? What are we trying to understand or which goal to set, Kristinko?"
42,New student,Buoyancy.
43,Teacher,Buoyancy. To figure out what it depends on. We already know; who identified buoyancy?
51,New student,Archimedes.
52,Teacher,"Archimedes. So, he'll keep an eye on us from the rear to see if we understand him correctly."
59,Teacher,"Or, if we still have a gap in our knowledge which we can fill together."
65,Teacher,Let's try it now. All that I need from you is your attention.
74,Teacher,"I see already that a mistake has been made. Now I have it here. So, we can start."
85,Teacher,I have prepared a stone. And how will I find the Earth's force which pulls the stone down? How can I find out? Petre?
99,New student,We measure it with a spring scale.
100,Teacher,"We measure it with a spring scale. So, I'll try it. Let's watch carefully."
106,Teacher,"We don't need a precise value, it's enough to watch the red and white strip. How much?"
114,Teacher,"And now let's watch what is going to happen. What do we notice? What do we notice, Adelko?"
126,New student,"So, gravity acted first, and after immersion the weight of the stone was reduced because buoyancy came into effect."
134,Teacher,"So, this was very difficult for me to understand. Let's try it in parts."
140,Teacher,"Regardless of the physics involved, what is the first thing that you observe. What is all that we can observe, Marketko?"
149,New student,That the spring scale indicates less.
151,Teacher,It indicates less. Has anyone noticed something else? Marketko?
155,Single student,The surface level of the water has risen.
156,Teacher,The level of the water has gone up. Excellent. Let's pay attention one more time and try to put everything together.
169,Teacher,We'll watch the stone and the spring scale. Are you noticing anything overall? Zitko?
178,New student,"The more it is under water, the lower the gravity."
181,Teacher,Do you think that the gravity is less? Daso?
186,New student,The buoyancy is greater.
187,Teacher,"The buoyancy is greater. So, exactly what is the spring scale indicating? Does it indicate the buoyancy or the difference between gravity and buoyancy?"
201,New student,It indicates the difference between buoyancy and gravity.
204,Teacher,Buoyancy and gravity. Do you think that my hand feels the difference or not?
