time,speaker,talk
1446061345,Hope,here is this uh.. sign
1446061348,Ashley,this is one.. the nashville sit ins I have a picture of
1446061351,Ashley,it
1446061354,Hope,* yea do you have the youtube thing going is it just a song ok
1446061357,Jason,* yea go tell it on a mountain
1446061360,Hope,wonder if there was supposed to be like a write up and we are just not getting
1446061363,Ashley,this is one of the points
1446061366,Jason,oh it's not really loading
1446061369,Hope,so I guess the church was on this parking lot site
1446061372,Jason,first wait the baptist church was called capitol hill?
1446061375,Ashley,we don't have text either
1446061378,Meghan,you don't?
1446061381,Ashley,* nope
1446061384,Jason,* of the 1960's movement
1446061405,Jason,strategy sessions non violent the well disciplined
1446061408,Hope,was there supposed to be text?
1446061411,Meghan,it's alright if its yea it might have just been a timing thing like they might not have yea been able to cuz we finished up right away and then we updated
1446061414,Hope,* yea
1446061417,Ashley,so popular Jane
1446061420,Jason,I have to have the sound on for the youtube even though I don't..uh well disciplined nashville sit ins served as a model for civil rights demonstrations throughout the south..ok
1446061423,Hope,wonder if yea so what's the next
1446061426,Ashley,walk?
1446061429,Hope,yea so what's the next?
1446061432,Ashley,we go back the way we came
1446061435,Hope,this is not I mean I'm not getting everything
1446061438,Ashley,I only get the pictures
1446061441,Hope,oh crap well my phone's dead so lets (inaudible) alright follow you guys
1446061444,Ashley,ok
1446061465,Hope,do you know what the next photo stop is supposed to indicate?
1446061468,Ashley,it's a historical picture of the first baptist church that we just read about
1446061471,Jason,oh cool.. I wonder why it was knocked down
1446061474,Ashley,they needed a parking lot for all the state bureaucrats
1446061477,Jason,paved paradise and put up a parking lot
1446061480,Ashley,literally tore down god's house
1446061483,Ashley,the next thing we're going to is rosa l parks boulevard
1446061486,Hope,ok
1446061489,Jason,we're on that right?
1446061492,Ashley,we're going to a sign that says that's what it's called
1446061495,Jason,oh
1446061525,Jason,take it all in just let it play
1446061528,Hope,let it play
1446061531,Ashley,to be honest it is starting to get a little annoying (laughing)
1446061534,Ashley,ok this is the next picture
1446061537,Jason,rosa l parks so it was named for rosa l parks
1446061540,Hope,* wait let me see ok so that's where
1446061543,Jason,where?
