time,speaker,talk
1445456420,Hadley,Oh you can read it
1445456423,Monique,if you go back and edit livetrekker
1445456426,Hadley,I'm gonna take a picture of this on livetrekker
1445456429,Ansley,it's really hard to read because its far away
1445456432,Monique,* well maybe we can get a zoomed in picture as well so like do like this kind of picture and then have a thing where there is a little dot then a bubble that expands you know so you can see that church
1445456435,Ansley,yea yea
1445456438,Hadley,yea
1445456441,Ansley,Ok so you'll can see I have a good picture of the church and the sign at the same time with no cars
1445456444,Jarod,you can't really zoom in that far
1445456447,Monique,alright ok alright
1445456450,Lily,and if you guys want us to take a picture of you guys and all just let us know and we can take it on that if you want it
1445456453,Monique,let's get a group selfie
1445456456,Jarod,of us?
1445456459,Ansley,yea true story well that's cool
1445456462,Jarod,I think we should
1445456465,Monique,ok so cool first stop
1445456468,Jarod,(laughing)
1445456471,Hadley,let's read it!
1445456474,Ansley,I knew there would be a marker guys! I'm proud I was right
1445456477,Hadley,formerly located this side was first church baptist capital hill.. which we thought.. headquarters of the 1960s sit in movement led by reverend kelly miller smith strategy sessions non violent workshops mass meetings victory celebrations and administrative offices were here.. the well disciplined nashville sit ins served as a model for civil rights demonstrations throughout the south
1445456480,Ansley,Ahh ahh
1445456483,Hadley,that's uh.. this like thing is a perfect
1445456486,Monique,what a great way to start
1445456489,Hadley,yea
1445456480,Jarod,killin it so far
1445456483,Hadley,luck of the draw right there
1445456486,Ansley,proud of us proud of us
1445456489,Hadley,ok
1445456492,Monique,alright so now we're headed back in this direction
1445456495,Hadley,k
1445456498,Monique,and we're gonna stop at the next intersection right and take a picture of the rosa parks sign
1445456501,Hadley,* and take a picture of the rosa parks yea
1445456504,Hadley,cool
1445456507,Jarod,we have a whole entourage
1445456510,Ansley,so where do we turn next?
1445456513,Monique,uhh we are going back the way we came in fact
1445456516,Ansley,why's it so hot
1445456519,Hadley,uhh do you wanna
1445456522,Ansley,yea but like
1445456525,Hadley,we are going exactly to the public library
1445456528,Monique,like the next stop is the library but we are going to add a stop at that intersection
1445456531,Ansley,ok
1445456534,Monique,umm for the rosa parks street name change
1445456537,Ansley,can I see? thanks
1445456540,Hadley,that little placard was like such a lucky gem
1445456543,Monique,yea definitely
1445456546,Hadley,AND the fact that that church was still there! but its relocated but its ok its ok
1445456549,Ansley,right wait dumb phone why is it so hot
1445456552,Hadley,yea its really hot
1445456555,Monique,not sure why it was so lovely yesterday
1445456558,Ansley,it really was
1445456561,Jarod,i still think this is pretty lovely
1445456564,Hadley,it is for nashville
1445456567,Monique,yea
1445456570,Jarod,you guys are just dressed warm
1445456540,Monique,we're just not dressed well for it
1445456543,Hadley,if we had short sleeves and shorts on it would be
1445456546,Monique,well this shirts pretty light but my pants are corduroy so
1445456549,Hadley,and yea oh yeah that's warm
1445456552,Ansley,* wait are those the new ones they're cute.. they look good
1445456555,Ansley,ok yeah so we're going back to church street
1445456558,Monique,so what angle do we want to get at this rosa parks sign? to make it artistic
1445456561,Hadley,super good idea or great question
1445456564,Monique,make sure to get the.. the sheraton
1445456567,Lily,they know they can take video or pictures on the livetrekker
1445456570,Hadley,do we want to take video
1445456573,Ansley,do we need to take video
1445456576,Monique,* umm I don't think so
1445456579,Ansley,* hey there's the rosa parks boulevard sign
1445456582,Hadley,yea
1445456585,Hadley,how about with the.. tree in the background
1445456588,Jarod,with the tree in the back I took a photo class in high school so I'll take this over I think
1445456591,Hadley,* you take the photo!
1445456594,Ansley,* do it josh! you got this
1445456597,Hadley,how do I do like a stop like
1445456600,Hadley,is there a way that I can on livetrekker like indicate like x like point or no
1445456603,Ansley,umm
1445456606,Monique,umm i don't think so i think we can add that online probably
1445456609,Hadley,mmk
1445456612,Ansley,yea that makes sense
1445456615,Monique,so I think for now we can just get the
1445456618,Ansley,i mean you can add text and say something like stop number one or whatever
1445456621,Hadley,why don't you just
1445456624,Hadley,jake why don't you try to take it on my phone since it's livetrekker and then we don't have to go back and do any extra
1445456627,Monique,yea
1445456630,Jarod,ok I was I was joking when I said that but I will take the photos
1445456633,Hadley,* no you're taking it! you volunteered yourself
1445456636,Ansley,(laughing) well we all took you very seriously
1445456639,Monique,well if you took a photography class you're definitely the most qualified for this task
1445456642,Hadley,try to get that guy in it
1445456645,Jarod,that guy it's a little too late I'm sorry i messed that one up.. alright I guess this this is where we're going from right here
1445456648,Ansley,it's really warm!
1445456651,Monique,yea it's pretty warm
1445456654,Lily,well this summer we did it and it was a one hundred degree day
1445456657,Ansley,oh gross!
1445456660,Lily,it was miserable
1445456663,Ansley,that would be painful
