time,speaker,talk
4,Teacher,"Okay. The bells are kind of messed up so we will- I will probably just go ahead and dismiss you. We're now starting like five minutes late,"
15,Teacher,because they didn't get the bells working right.
16,Teacher,"All right, who is absent? Anybody?"
19,New student,I don't know.
21,Teacher,You don't know? Do you know who sits at your table normally?
25,New student,//He's missing. Who is he?
26,New student,//I don't know who is supposed to-
27,New student,Devin is not here.
28,New student,No. He's //here.
29,Teacher,//Devin is gone.
30,Single student,He's here.
31,Teacher,Right. He's here.
35,Teacher,"Jennifer, I'm gonna have you move to-"
41,Teacher,"Yeah, a table of three people, not the one that's got four. "
46,Teacher,"All right, so nobody is absent? Everybody is here?"
49,New student,Yeah.
52,Teacher,Okay. 
57,Teacher,"Um, I'm not going to return your papers today. I'll save that for tomorrow. We'll get right into what we're going to be talking about today. "
66,Teacher,There's just a couple of things that I needed to go over with you first that I'm not sure that you got it before. 
76,Teacher,Yes? Writing your homework books? Okay. 
84,Teacher,All right. Open up your book. What? 
88,New student,I can't hear out of my ear.
90,Teacher,What's wrong?
91,Single student,It hurts.
93,Teacher,Did you ever go to the doctor?
95,Single student,Yeah.
96,New student,"Miss A, (inaudible)."
97,Teacher,What?
98,New student,(inaudible).
99,Teacher,Okay. Take these right here. Go. Bye. They must feel like they have the plague or something.
108,Teacher,All right. You ready?
110,New student,Yeah.
111,Teacher,Okay. On page- open your book to page 588. 
114,Teacher,There are- 
123,Teacher,There are some weather maps. There's actually four weather maps on those pages that are in front of you. 
128,Teacher,"They are showing a progression of weather over a four-day period? Three-day period, okay. Where the weather is going. "
139,Teacher,"Looking at those four maps, looking at the one on the page before that- flip one page back- "
151,Teacher,"Okay? And looking on the page after that- flip two pages, forward- "
160,Teacher,"So you're looking at page 587, 88, 89, and 90- find the high pressure centers; "
175,Teacher,"find the low pressure centers,"
180,Teacher,"on any one of those five or six maps,"
184,Teacher,find the cold fronts and the warm fronts. 
190,Teacher,"Okay, now here's a puzzle for you. What do you notice about fronts and pressure centers?"
198,Teacher,What do you notice about the fronts and the high pressure; and the fronts and the low pressure?
204,Teacher,Look- and you gotta look at the map in order to answer the question.
209,Teacher,"And if you can't figure it out with one map, move to another map."
215,Teacher,Make some comparisons.
218,Teacher,What pattern do you notice about fronts and pressure centers?
233,New student,I have a question.
234,Teacher,"Mm. No- no, no. I'm waiting."
238,New student,I have a question.
239,Teacher,Oh. Question? Okay.
240,Single student,Aren't the pointed ones the warm fronts?
243,Teacher,The pointed ones are the cold fronts.
245,Single student,Okay. I was just making sure.
250,Teacher,"I thought you were gonna answer the question. I am waiting for some people to get that look on their face, like, ""oh."" "
262,Teacher,"Stuart, are you noticing anything?"
268,Teacher,Is there something you're noticing about the high pressure centers that is not the same as the low pressure centers?
281,New student,Besides the- besides the points?
284,Teacher,Besides the what?
285,Single student,"The points, the triangle-"
286,Teacher,What about the points?
288,Single student,That there's like more(inaudible)-
291,Teacher,There's no triangles where?
293,Single student,No. There's more triangles-
294,Teacher,Oh.
295,Single student,Than there's (inaudible).
297,Teacher,Oh. Okay. So there's more cold fronts than warm fronts?
300,Single student,Yeah.
300,Teacher,"Okay, but what about the low pressure centers and what about the high pressure centers? "
315,Teacher,"Mitch, what do you think?"
316,New student,I think that there's low pressure centers on the cold fronts and the warm fronts too. Like on a front //there's like a-
323,Teacher,//And what about the high pressure centers?
325,Single student,They are moving away from the front.
328,Teacher,"They don't seem to have fronts attached to them, do they?"
332,Single student,No.
333,Teacher,"You notice that, Jeff?"
334,New student,Uh-huh.
335,Teacher,Look at all the low pressure centers. Do you see fronts attached to them? 
339,Teacher,"No. Can you tell me why? Remember the balloon thing? Can you tell me why? Jeff, what do you think?"
349,Single student,"Uh, when it hits the hot air, it would like go above it. Like-"
356,Teacher,So you got a warm air mass and a cold air mass?
358,Single student,"Yes. And when it hits- I remember, but- I remember it, but it's hard to explain."
365,Teacher,Okay. You're saying the warm air rises above that cold air?
369,Single student,Yes. 
370,Teacher,Okay. 
371,Single student,And the-
374,Teacher,And the warm air has what kind of pressure?
378,Single student,Low pressure.
379,Teacher,"Okay. Mark, did you have something to add?"
381,New student,No. I was gonna say (inaudible).
384,Teacher,"Okay. Let me show you a real easy way to really kind of understand it. I have three balloons this time, and they are different color. Red is?"
394,New student,Cold.
395,Two or more students,Warm.
396,Teacher,Warm air. Blue is?
397,Two or more students,Cold.
398,Teacher,"Cold, and yellow is?"
399,Two or more students,Warm.
400,Teacher,Is cooler. Let's say cooler. All right. Let's look up here for a second. 
407,Teacher,"And you'll even notice on this map there aren't any fronts attached to those low pressure centers, right? "
412,Teacher,"Just- or to the high pressure centers. Just to the low pressure centers, right? "
416,New student,Uh-huh.
417,Teacher,Okay. So where would the red balloon go? If this is the- what kind of front?
423,Two or more students,Cold.
424,New student,Cold front.
425,Teacher,Then where's the warm air going to be?
427,Two or more students,Going behind it.
428,Teacher,Behind it? This is the front of a warm air mass?
432,New student,"Uh, no. It's gonna be in front of it."
433,Teacher,It's gonna be in front of it?
434,New student,Yeah.
435,Teacher,Okay. Where's the cold air gonna be?
437,Entire class,Behind it.
438,Teacher,"Behind it. And we'll put the yellow air up here, okay? This is where the low pressure center happens. Watch what happens. "
445,Teacher,Here's the warm air. Here's the cold air. Here's the cool air. You see the hole in between the three?
451,Entire class,Yeah.
452,Teacher,"There's your low pressure center. It's where those big bubbles of air have a depression, or an area, a gap, that space, "
462,Teacher,that's the low. See? Yeah.
465,Two or more students,Yeah. 
466,Teacher,"Ah. Okay? That's what you're looking at. You're looking at that bubble of warm air, the bubble of cold air behind. "
473,Teacher,"Here's the front right here, right? The front of the air mass, yes? "
477,Teacher,"And then where they all meet up- where these bubbles of air meet up, that's where that low pressure center comes in. "
484,Teacher,The high pressure is going to be this big bubble of cold air at the very highest point of it as far as pressure goes. 
494,Teacher,"It's not gonna ever have a front because it occurs in like the middle of the air mass, okay? "
500,New student,Okay.
501,Teacher,Get it?
502,New student,Yeah.
503,Teacher,Ooh. Yes?
504,New student,So then basically a tornado would be caused because of low pressure in the (inaudible)?
510,Teacher,"Yes. That depression of low pressure air, right. What you got is air funneling in and air funneling up at the same time, "
519,Teacher,"and then once it starts to twist- when we see that video on ""Understanding Weather,"" "
523,Teacher,it's really cool because it shows the air funneling like this on the ground. What's that called?
531,New student,Conven- 
532,New student,Convection current.
533,Teacher,"Right. It shows that on the ground like a big tube doing that, and then when that- I think it showed cold air- hits it- excuse me- hits it, "
543,Teacher,it- remember when I said the cold air hits that blue and the blue goes flying off- or the-
548,New student,Uh-huh.
549,Teacher,Cold air hits the red and the warm air goes flying up? That's what causes the storm? 
553,Teacher,"What it shows is that that tube gets split and splits up this way, and that's the beginning of a funnel cloud. It's very cool. "
562,Teacher,"But you'll see that on the, uh, video. Okay. So does that help with low pressure and high pressure and-"
568,New student,Yeah.
569,New student,//Yeah.
570,Teacher,//Okay? Kind of a visual.
571,New student,Uh-huh.
572,Teacher,Okay. The reason you need to know that is because this is what you are going to be doing. 
576,Teacher,First hour did not even finish the cities on their map which was kind of disappointing. I thought they'd get further than that. 
584,Teacher,"You do not need- and I won't let you use- your book or your notes. I was going to let you, and then I thought, "
592,Teacher,"No, I think that you need to get that station model plugged into your head a little better than you have it. "
598,Teacher,"Okay? So you don't need any of that. You may use the map on page 770, I think. Check page 770 in your book. "
613,Teacher,"There should be, yep, a map of the United States. You also have a map like this at your table with all of the cities on it. "
621,Teacher,Oh. They don't have one down there. 
623,Teacher,"Hannah, would- would you take that map down to the office and ask them to give it to the kids inside the conference room?"
632,New student,Okay.
633,Teacher,"Okay? I think they brought the map back from their- and then tell them to leave it there. Leave the pencils and the map, okay?"
640,Teacher,"All right, so you've got enough reference for finding certain cities. You're going to get a list of 12 cities in the United States."
648,Teacher,"Oh, that stays on; this goes off."
649,Teacher,"A list of 12 cities in the United States, with some other data. I told you this last week."
656,Teacher,And you're going to get a blank map that- handing out?
662,New student,(inaudible)
663,Teacher,Okay. Handing out?
666,New student,Here. (inaudible)
667,Teacher,Yeah. Dorothy.
668,Teacher,"I want to let Dorothy do it, because she threw her hand out there first. I didn't think she wanted to get up, but she does."
674,Teacher,"Okay. You're gonna get a sheet like this, that has all of the instructions that you need on it."
679,Teacher,"What you are going to do is, on the map, in front of you- and put all your notes away right now-"
685,Teacher,"any notes, any... You can only have your book open at page 770."
705,Teacher,"Okay. On the blue sheet is a list of the 12 cities, around the country. You might wanna make note that-"
715,Teacher,"Hatteras, fourth from the bottom, is actually called ""Cape Hatteras""; "
722,Teacher,"most of you have probably never heard of it. You will, though, by the time we get done with oceans."
727,Teacher,It is in North Carolina. North Carolina.
733,Teacher,I'm not gonna show you where that is; you ought to know where North Carolina is.
737,Teacher,"And, uh, Kansas City. There are two big Kansas Cities. We're talking about- thank you- Kansas City, Missouri. Okay?"
746,Teacher,"So you might wanna write ""MO"" after Kansas City, just so you remember where it's from."
759,Teacher,"All right, who wants to read the directions? I'm gonna stop you a lot as you go through, and explain certain things."
764,Teacher,"Mark, go ahead."
765,New student,Locate and label each of the above cities on the attachment.
769,Teacher,"Okay. The first thing you're going to do is find the cities, one at the time. Detroit, okay?"
