time,speaker,talk
4,Teacher,How about today?
9,Teacher,Good morning.
10,New student,Stand up.
15,Single student,Bow.
17,Single student,Sit down.
22,Teacher,Okay. It's supposed to be as usual so let's go on without being concerned about it.
32,Teacher,Anyway your face might not be taped.
34,Two or more students,[Laughter]
35,Teacher,"In reality, there might be dark lines in your faces."
37,Two or more students,[Laughter]
39,Teacher,Don't worry.
45,Teacher,Okay.
48,Teacher,Ahh.
53,Teacher,"Okay, yesterday was about the relationship between parallel lines. We ended quickly yesterday by doing some problems."
60,Teacher,Do you remember what they were?
87,Teacher,"The first written problem on the handout we hurried through it yesterday, so we were not able to summarize it well at the end..."
95,Teacher,So today in between the parallel lines there is one angle in the bend.
103,Teacher,So first we will obtain that angle.
106,Teacher,When I had you do the problems yesterday we had three problem solving methods that were presented...
111,Teacher,It's okay to use the method you think is the easiest. Please try to do the problem.
152,Teacher,"After you have finished writing, please add an explanation."
157,Teacher,My- my method is this and this way. If you can also give an explanation that would be amazing.
216,Teacher,"This, right."
218,Teacher,You're fast.
234,Teacher,"If you forgot how to solve it, it is okay to look at the previous handout."
246,Teacher,(inaudible) let me borrow this for me. Let me borrow this because he needs a pencil. It's a little different... line... (inaudible).
262,Teacher,Umm. Okay.
266,Teacher,Are you done? Can I ask? How is it?
272,Write on blackboard,[Blackboard: Method of investigating the diagram. Diagram bends once between the parallel lines.]
272,Teacher,People who solved it?
275,Teacher,Okay then... Arai.
280,New student,Yes.
282,Teacher,"Okay, what did you do?"
283,Single student,Fifty. The 50 degree. The line around it. The line there extend it.
290,Teacher,Okay. Did you extend it like this?
293,Single student,Bring that over there. Uh- 50 degrees. Alternate interior angles of it. There. That is 50 degrees so.
303,Teacher,This? Okay.
306,Single student,The right angle is 30 degrees. If you add it all up it becomes 180 degrees so.
312,Teacher,A triangle. Yes.
313,Single student,Yes. The top part is 100 degrees.
318,Single student,"The one before. A right angle is. A right angle is. Um, it becomes 180 degrees so."
319,Teacher,Okay. Not a straight line?
325,Single student,A straight line becomes 180 degrees
326,Teacher,Yes.
329,Single student,So X is 80.
332,Teacher,Okay. Is this okay? Here we go. Okay. We can see he was a little tense.
338,Teacher,"Um, that was a clear method. People who did it using this method?"
343,Teacher,Oh... okay.
348,Teacher,"About five people? Okay, other methods."
352,Teacher,"Okay, Bunya."
356,Teacher,"Okay, please go ahead."
358,Single student,In the middle.
360,Single student,Draw a... parallel line.
367,Teacher,Oops? Okay.
368,Single student,"Then. Um, the top 50 degrees, the alternate interior angles of that."
374,Teacher,Yes.
375,Single student,It is made there so.
377,Teacher,"Yes, well- Well, okay."
381,Single student,So it's 50 degrees.
383,Single student,The bottom is 30 degrees. It can also be done in the same way.
388,Single student,Add those together it becomes 80 degrees.
391,Teacher,Okay. That's good. The method was to use the alternate interior angles of the parallel lines.
397,Teacher,Good. People who did it with this same method?
401,Teacher,Okay.
402,Teacher,Right. About 10 people. Okay.
407,Teacher,Are there any other methods?
410,Teacher,Oh. One person... Chika.
414,New student,Yes.
415,Teacher,Okay.
416,Single student,"Umm, from point B."
418,Teacher,From point B. Okay.
419,Single student,From point B.
420,Teacher,Okay.
421,Single student,Is it... L?
424,Teacher,"From the top line it would be an L, huh."
425,Single student,To the top straight line draw a perpendicular line. Then-
429,Teacher,Draw a perpendicular line from point B.
431,Single student,"Then. The B area is 60 degrees. Umm- well not really B, but between that perpendicular line and 30 degrees is a right angle."
442,Single student,So subtract 30 degrees from 90 degrees.
444,Teacher,Yes.
445,Single student,It becomes 60 degrees.
446,Teacher,Yes.
447,Single student,The area A is fi- fifty degrees so.
452,Single student,"Umm, the straight line is 180 degrees."
456,Teacher,Right.
457,Single student,Angle A becomes 130 degrees.
462,Single student,Since if you add up all of the angles of a quadrilateral it becomes 360 degrees.
467,Single student,"Umm, if you add- what is this? It becomes 280 degrees. Eight."
475,Single student,Subtract 280 degrees from 360 degrees. X became 80 degrees.
480,Teacher,Okay. Yes. Here we go. Okay. People with the same method as this?
488,Teacher,Oh. Just Doi. Okay. Good. Are there any more?
494,Teacher,Think a little more.
497,New student,I'm thinking.
498,Teacher,Okay? I am sure there are people who also extended this one.
503,Teacher,Here are methods like that. Basically these three are the ones you have thought of.
509,Teacher,Now I will summarize these into main points.
515,Teacher,With just this diagram... with just this diagram we can't solve the problem.
521,Teacher,So Sano and others extended the line to make a triangle. Bunya and others drew in a parallel line in the middle.
529,Teacher,Chika and others drew in a perpendicular line. That means we can't solve it without auxiliary lines.
552,Teacher,The auxiliary lines become important.
555,Teacher,"Then by the way we draw the auxiliary lines in all we got three types. Sano's, Bunya's, Chika's."
561,Write on blackboard,[Blackboard: Point: Auxiliary line is important]
565,Teacher,They were different based on the way the auxiliary lines were drawn.
568,Teacher,"That means, one way is to draw a parallel line and use the alternate interior angles."
577,Teacher,"Another is to extend the line and make... a triangle,"
