time,speaker,talk
1,Teacher, 
4,Single student,A lot.
5,New student,Yes?
8,Single student,I really don't understand it.
10,New student,"Teacher, aren't we allowed to (inaudible)?"
11,Teacher,Yes.
16,Teacher,"Yes, yes, yes, yes."
17,New student,I said just leave it.
22,Teacher,"Okay, ladies and gentlemen. Ravi, your punishment lines?"
24,New student,"Oh, yes."
26,Teacher,"As first thing, before I forget again."
27,New student,(inaudible) that too?
29,Teacher,I have already shown that one. He already had that neatly signed off. The rest of you also grab your things.
37,Teacher,"Where are you coming- oh, you already went. Okay."
46,New student,Wasn't that twice then?
47,New student,Once.
48,New student,"Twice we were supposed to, didn't we? Oh."
57,Teacher,Yup! Very good. Very good.
65,Teacher,"Okay. Um, like I said yesterday, today we will begin with Pythagoras. Which one of you ever heard of Pyth- Pythagoras?"
78,New student,Uh...
79,Teacher,Uncle Pete.
80,New student,"Pete, Pete, Pete."
81,Teacher,"Tell us, what do you know about it?"
83,New student,It's a gentleman.
84,New student,"A squared plus B squared, equals C squared."
85,Teacher,You know the equation A squared plus B squared equals C squared. Who else can say more about it?
89,New student,"Uh, I think this guy was a Greek."
92,Teacher,"The, uh, this gentleman was Greek."
93,New student,Yup.
94,Teacher,"Or at least during that time period, somewhere in that region."
97,Teacher,Okay. Does anyone know when you would use the Pythagoras' theorem and what you would use it for?
103,New student,"Yes, in a diagram."
104,Teacher,In a diagram. You obviously have a diagram. I am crazy about diagrams.
108,New student,(inaudible)
109,Teacher,"Something about triangles, indeed. Well, let's take another look."
115,Teacher,What well-known triangles do we know? We have different types of triangles.
119,New student,Right-angled.
120,Teacher,We have a right-angled triangle.
121,New student,Isosceles.
127,Teacher,What is a characteristic of a right-angled triangle?
130,New student,"It has, it has one-"
133,Teacher,Ruben?
134,New student,It has a right angle.
135,Teacher,"In any case, it has a right angle."
140,Teacher,You can see that by the little symbol. What other kinds of triangles do we have?
144,New student,An isosceles triangle.
145,Teacher,An isosceles triangle.
151,Teacher,What is characteristic of an isosceles triangle?
154,Single student,Two equal sides.
155,Teacher,"Two equal sides. Like this, for instance. I will just name the sides that are equal, for example A, the other one B. Meaning:"
167,Teacher,"if I fill in a number for A, then I have to use the same number for every A I come across."
172,Teacher,What else do I know about an isosceles triangle?
177,Teacher,"If I look at angles, for example? Maarten."
178,New student,That A and B are equal.
180,Teacher,A and B are equal in size. Very good. And I have another special triangle. Which one?
187,New student,Equally shaped.
188,Teacher,An equilateral triangle.
189,Single student,Oh.
195,Teacher,What is characteristic of an equilateral triangle? Julie.
198,New student,All sides are equal.
199,Teacher,"All the sides are equal, all three sides."
209,Teacher,So one could say: all the sides are A. Would there be anything else I can mention about an equilateral triangle?
215,New student,"Um, all angles are equal."
218,Teacher,All angles are equal. And can we tell how wide they are?
221,Single student,"Yes, 180 divided by three."
222,Teacher,One hundred eighty divided by three and that is?
225,Single student,Sixty.
226,Teacher,Sixty.
231,Teacher,"Okay. So as we noticed before, we use Pythagoras in a triangle. But I have three types of triangles."
239,Teacher,And we only use Pythagoras in a right-angled triangle. So we are going to continue with a right-angled triangle.
246,Teacher,And the other triangles you will come across at some point later in the chapter.
249,Teacher,Because you will be making right-angled triangles from these- or in these. Which enables you to cal- calculate things.
259,Teacher,Another thing we noticed yesterday-
263,Teacher,"No, let me first pick up something else. I'll go- I'll return to the right-angled triangle."
270,Teacher,Except I placed it on its side.
273,Teacher,"We know that the edges of a triangle- or any figure- are called ""sides""."
278,Teacher,"In a right-angled triangle, this side is attached to a right angle. So what should we call this side? A right-angled side."
287,Teacher,Yes? Because this side is attached to a right angle so you call that a right-angled side.
300,Teacher,Do we have any other right-angled side in there?
302,New student,Yes.
303,Teacher,"Yes, all the way on the other side. That one is attached to the right angle as well, therefore you call that a right-angled side as well."
319,Teacher,"Then I still have one side left. It isn't so obvious because it is laying flat. But if you see this triangle, what can we call that side?"
328,New student,The long side.
329,Teacher,The long side. That is correct. Or in a different way?
333,New student,The right side?
334,Teacher,"It is actually at an angle. If you see it in such an- like a diagonal- so you call this the sloped side or the hypotenuse, is what you call this one."
345,Teacher,"These are just names, you know, you may also keep calling this ""the long side"", no problem."
350,Teacher,"Okay, with Pythagoras, soon, once we have gotten to know Pythagoras, we will use Pythagoras to calculate the sides."
358,Teacher,"Because all we know now about a triangle and the size of its side, is when we measure it."
363,Teacher,"However, those triangular protractors, how exact are they really?"
367,Teacher,"We know from, uh, the drawing of your number line, from, for example, of the square root of five-"
374,Teacher,"Well, you can't really measure that exactly."
376,Teacher,Because the square root of five had such an odd number behind the point. And still we can calculate things in the end with Pythagoras.
386,Teacher,"Yesterday we saw, when I have a square, with a surface of, say, 37,"
395,Teacher,"we could calculate, or at least determine how large the side was of such a square."
400,Teacher,"And we were actually able to do that quite precisely. Namely, Maarten?"
404,New student,The square root of 37.
405,Teacher,"The square root of 37. Okay, so that's ""when I know the surface area of a square, how do I determine the sides again?"" Okay, very well."
419,Teacher,That is already kind of what's explained in assignment one.
423,Teacher,This has to do with assignment two. That diagram is shown at assignment two.
432,Teacher,We have here- I am just going to skip several parts of exercise two because we will not do all that.
438,Teacher,We have a large square here: O E F G. As well as a square that is tilted at a corner: square A B C D.
449,Teacher,"I would like to know what the size the lengths are of the square A B C D,"
454,Teacher,for example what's the length of A B. We can't measure it and yet we are able to calculate it right now.
461,Teacher,"Because we have seen that once I knew the surface area of a square, I was able to determine the sides."
466,Teacher,So I would like to calculate what the surface area is of the square A B C D. How can we do that? By which method? Rene?
475,New student,"Well, I think you have to up on top of the large square- oh, no, that's something you don't know-"
481,Teacher,"Yes, though."
482,Single student,"Yes, then you have to, uh, remove those angles- or, uh, yes, well, that's how you get the small square."
487,Teacher,Very good. You have to calculate the surface area of the large square: O E F G.
492,Teacher,"And then you take the surface areas of the triangles, you subtract that. Very well."
497,Teacher,"What is the surface area of the large square, of the O E F G?"
508,Teacher,How much?
510,New student,"Uh, nine centimeters squared."
511,Teacher,"Nine- well, what the unit is I don't know, I didn't specify that. But if it were shown in centimeters, then you're right."
517,Teacher,Right now I don't have a unit. Therefore the total surface area is indeed nine.
520,Teacher,"Namely three by three, or you can just count the squares- that gives us nine."
525,Teacher,So we're told that we have to remove the surface areas of the triangles. What is the surface area of one of those triangles?
530,Teacher,How do we calculate that again?
534,Teacher,Willem?
535,New student,I don't know how you calculate it but I can just see it.
537,Teacher,You can just see it. What is the outcome according to you if you are just able to see it?
541,Single student,"Um, four in total comes off because one of those, uh..."
546,Teacher,One of these triangles?
547,Single student,That is one.
548,Teacher,That is one. Okay.
549,Single student,And there are four of those.
550,Teacher,"Correct, but how are you able to calculate that again? Leni?"
554,New student,You make it into a rectangle?
556,Teacher,I- I am just going to pull it aside. So these are then the three surface areas of the triangle that we want to calculate.
564,Teacher,We will make it into a rectangle. And then?
569,Single student,We calculate the surface area.
571,Teacher,"We calculate the surface area. That was one by two, so the whole surface area together of the rectangle is then two."
577,Teacher,"And I just need to take half of that, which brings us to one, very good."
586,Teacher,So the surface areas of the triangles-
594,Teacher,So the surface areas of the triangles together here is four. So what is left is five.
605,Teacher,"So the surface of the square in the center, A B C D, is five."
612,Teacher,"And now we can finally, after all that calculating, determine one of those sides. Namely, that is?"
618,New student,The square root of five.
619,Teacher,The square root of five. Very good.
624,Teacher,So we've got no problem figuring this out. We may not even need Pythagoras at all.
628,New student,No.
629,Teacher,But it is kind of a hassle if you constantly have to draw on like this.
632,Teacher,"Because, suppose you wanted to know the length of this little line."
638,Teacher,"If you want to calculate that you first have to, you first have to draw a square again, like this one and another square around it."
644,Teacher,And then calculating it again. So it's a real hassle. So we're going to do that differently.
650,Teacher,The example given in the book is that assignment four and five. I will just do that one with the overhead projector.
674,Teacher,"Okay, we see, we see at assignment four, they have given two plates. Well, I drew those too, I have two plates."
684,Teacher,They should be equal in size.
686,Teacher,"Well, if I place them on top of one another, they are indeed- if I place them very neatly on top of each other, equal in size."
693,New student,Yes. Yes.
695,Teacher,Well...
696,New student,Approximately.
