time,speaker,talk
0,Mae,this is interesting right here (**)
1,Adhir,yea
2,Jeans,Yea this is really cool 
3,Blake,oh yo yo yo look
5,Mae,this is..this is cool right here..these instruments are pretty amazing 
7,Adhir,Oh MY GOD.. Hanks D 28!
11,Blake,then there's like..  this is where bill monroe's mandolin is 
12,Lily,(***)
13,Jeans,K Blake
32,Lily,wow...what a guitar
37,Lily,jeans it has kinda scratches like yours
39,Mae,it does
40,Jeans,yep... right.. by the pick guard (**)
42,Mae,see there's like one his mom did right there (**)
46,Jeans,I DOUBT it 
47,Mae,david keeps mentioning that
50,Jeans,LOOK at this this is the coolest guitar in the world...(**)
53,Lily,awwww.. he's a key member of the Bluegrass Boys (***)
54,Jeans,Lester! 
60,Mae,seems kinda crazy to me that that instruments just sittin there (1
63,Adhir,mhm
63,Lily,aww it had his name on it
64,Mae,you know in some ways.. you wish someone (*) really awesome was using it
69,Blake,Adhir look.. Lester Flatt's guitar (*)
70,Adhir,well like Hank Williams..It looks like Hank Williams Jr. just donated .. gave it here as I imagine it would be so hard for him to part with his dads..guitar.. cuz he could be playing it
70,Jeans,it's so cool
72,Lily,one of the greatest rhythm instruments ever made (***)
73,Blake,Lester Flatts
74,Jeans,it's just a beautiful guitar..1950.. oh its 1950!
78,Mae,to donate it here you mean? 
79,Adhir,well yeah I mean maybe he didn't donate it but..it's just
80,Lily,fret and gluing his business card inside the sound hole (***)...yea 
81,Blake,Adhir!
82,Mae,mm
83,Blake,Lester Flatts guitar
84,Adhir,which one?
85,Blake,Lester Flatts
86,Adhir,oh wow
88,Lily,there it is! it's in there up and to the left 
90,Jeans,wait uhh.. oh my god.. oh my god yep (1
95,Mae,"I know, I don't know you wonder how he felt about that..maybe he felt like it was the best place for it (1"
96,Jeans,Earl Scruggs ban (1
100,Lily,what a piece of work he was
110,Lily,Blake look!
111,Jeans,yea...
113,Blake,hmhm..I've seen this all
115,Blake,and then Bill Monroe’s Mandolin!
115,Jeans,look it BILL MONROEE!
116,Lily,"OH MY GOD, "
118,Blake,LOOK it LOOKS PERFECT (**)
