speaker,time,talk
joke,103,"I dunno what kind of justice you're talking about, but I don't know. I can't help you. They're not gonna doing me any justice. Keep on, keep on tracking my heart rate. All right, let's go. Let's get up. Ready, set, go."
authenticity,135,"Said normal. Do it. Yeah, do what you want. Of course. Grab your things. You're good."
authenticity,139,"Normal. Enjoy your life. Give it real. Do you? Whoa,"
connection,151,"Sorry dude. Oh, that was a good thing. Wait, let me take a picture of this real quick with all this media. Oh, actually I could just get it on film. No, I'm playing"
encouragement ,299,"Yeah, go ahead. You can just leave it right here. I'll get it to All good. Good, good, good, good, good guys, I really wanted to see you guys interact. This is why I'm really excited to watch it. All right, thank you."
joke,410,"Okay. I see what you mean. Good. That's good. Yeah. Want to get my thing? I'm waiting for my tool to come in. No, don't they do like a don't they have like a thing that will tell 'em how much ghost activity there is paranormal activity. So I need one of those."
connection,468,"That like, sounds like a good Halloween costume. Like"
connection,474,Oh yeah. Do you watch that show? Is that a rough A
connection ,476,Show. It's a good
connection,483,Center. Really? They did Rats. Not
connection,487,Say that Ghost are real. So what do the other people do? They just admit that they're just like joking places.
connection,496,"Oh, they haven't actually been,"
connection,500,"Is that a joke? That sounds like a fun joke. Like that's a funny show. Like, you know, it's funny. Yeah. Cause every time you would go try to find ghosts there wouldn't be there."
connection,511,That's funny. I actually like it.
Context- math sensemaking,644,Right? Yeah. Ucsb. Yeah. How does
Context- math sensemaking,648,"Well, so, okay,"
Context- math sensemaking,650,That's Santa. Yeah. The school is like north of the city.
Context- math sensemaking,654,"It, y'all didn't apply there or why?"
Context- math sensemaking,656,Did. You did but you never went there. It's really nice.
Context- math sensemaking,660,"Well you could go visit him. You did. Right. And it's farther, it's farther north of um, it's really nice. My sister went there. I mean, I don't"
Context- math sensemaking,669,<laugh>. But you got there. Did you like it?
Context- math sensemaking,674,"Day, so Yeah. Depressing. It's a little gloomy there. They have a lot of fog, but it's really nice. Most of the time. It's really amazing. My sister went there. It's really fun, but so yeah. So you get it right? It's north, right? It's north of, um, it's further north to Santa. So like, you know, I showed you the map right here. And so like Santa Barbara's right here. And then UCSB is like right here."
Context- math sensemaking,695,"Well, what'd you get?"
Context- math sensemaking,699,"Said Sure, I know you're right. And she said she believed in me and we got that on camera and I was super happy. But, but there's, but I'd rather, we use some math. So how do we know how far I went? Because basically, right, this is my velocity, right? And time five is right here. Right? Which you already said. Cuz this is when I stopped. So, um, what happens here? Do you know? Did you read the story?"
Context- math sensemaking,718,"Just, why?"
Context- math sensemaking,722,"It doesn't say it's just, well,"
Context- math sensemaking,728,"Apartment, something like that. I lent the bike to my friend in, in U C S B. Yeah. So what I'm thinking is like, I stayed there for a little while. Like maybe I talked to him or something, right? Maybe we had some lunch or something like that. You get me what you mean? Point is like, I, I'm, I'm assuming that this would be when I got to Santa Barbara. So how, how far did I go? Like this is the velocity graph. Like what can you do? What mask can we do"
connection,810,"Oh, you no hug right now. Nice, nice hug. Are you guys are really know how to celebrate love <laugh>? Just throwing out suggestions. I'm not saying you have to. Nice."
connection,871,"Stop laughing at me. Is it right? I know I could. Oh, you want me to show your awesome work? All I mean, you're doing it. Perfect. So is it right? Yes. How do you know?"
connection,891,"You right, you're"
connection ,894,center. Really? They did Rats. Not
connection ,896,"Out. No, <laugh>. Just, I'm just"
connection,902,"I'm just,"
connection,905,"I feel like you knew that you were right and you should have known that you were right. That's good. I'm just checking. Okay. All right. Alright. Alright. You. Oh gosh, this is really, this is falling apart."
connection,916,"Having too much fun. Huh? For which one? Let me see. Three to five. Yeah, it's right. Sorry, it took me a while. Why is it right?"
Context- math sensemaking,1470,"Seven's a good answer I think. Cuz I went forward and then I stayed there for a little while. Like, let's say that I didn't just like grab my bike and run. I like talked to my friend or maybe we had a sandwich or something. Right? And then I, and then I went back here. And so by the time I get to eight, I'm not turning back. I'm already been going back. Oh. Does that make sense? All right. Good though. Good stuff. I agree with anything. Yeah. Good. Uhhuh. Good. Nick? 1 0 5. Brilliant. Good. That's great. That looks great."
encouragement ,1514,It really does. It's beautiful
encouragement ,1657,"No, it's great. I'm loving you. You, you all are so great. Put that on record. You kind of got that, you knew it already, right? Good. Brilliant. You don't need tranent,"
praise,1713,"Like 40 minutes. Oh my god. You, you're right. Okay. 40. Yeah, you're right. This is 40. Okay. Yeah. So it's my fault. You can't do that. Promise. This my phone. I just, you know what? I just added that in the other day and I messed up. Thank you. Thanks for catching my mistake. You're a genius. Um, I gotta tell everybody that one. All right. It's the same equation. Good job. Thank you for your help. Okay. I messed up on one problem. One number. You guys on, I messed up on this one. This is supposed to be 40 as you probably would know if you looked at it, but I'll catch you before you try it. Negative 28. I don't think it was ever negative 28. What's negative 28. What's 1 0 6 a only trans logic. Oh, how'd you get? 28?"
