time,speaker,talk
10,T,More comments about the meeting? I'd really like to hear from as many people as possible- What comments you had or reactions you had to being in that meeting yesterday. Sean? 
17,S,"I don't have anything about the meeting yesterday, but I was just thinking about six. It was a- I'm thinking that it's a- it's an odd- it can be an odd number too 'cause there could be two- Two, four, six, and two- three twos, that would make six- "
24,T,Uh-huh
31,S,"And two threes. It could be an odd and an even number. Both. Three things to make it, and there could be two things to make it."
38,T,"Uh-huh. And the two things that you put together to make it were odd, right? Three and three are each odd? "
45,S,"Uh-huh, and I think the other- the twos were even."
52,T,"So you're kind of- I think Nathan said then that he wasn't talking about every even number. Right, Nathan? Were you saying that?"
59,T,"Some of the even numbers, like six, are made up of two odds like you just suggested. Other people's comments? Cassandra?"
66,C,I disagree with Sean when he said that six can be an odd number. I think six can't be an odd number because- Look-
73,T,"Jeannie, Betsy? "
80,C,"Six can't be an odd number because this is even, odd, even, odd, even, odd, even. How could it be an odd number because..."
87,S,Because- 
94,C,"Even, odd, even, odd, even, odd. Zero's not an odd number. "
101,S,"Because six- Because there can be three of something to make six, and three of something is like odd. Like see, you can make two, four, six. THREE TWOS to make that, and two threes makes it."
108,N,But that doesn't-
115,T,Keith?
122,N,that doesn't necessarily mean that six is odd
129,T,Why not Keith?
136,N,"because- just because you need two odd numbers to add up to an even number doesn't mean it has to be odd, you know what I mean."
143,T,"What's the definition- What's our work- Sean, what's our working definition of an even number? Do you remember from the other day the working definition we're using? What is it?"
150,S,It's that- I forgot.
157,T,"Could somebody help us out with this? ‘Cause we need in the group to have an idea that we're working with. What's the working definition we're using? Do other people know it besides Lucy and Sheena? I think other people do. Maria, do you know what the definition is that we've been using for an even number?"
164,T,I'm confused now
171,S,"You could split six fairly, and you can split six not fairly. You can like- cut six in half."
178,T,Uh-huh
185,S,"There's like- Say there's two of you... And you had six cookies, and you didn't want to split it in half and, so that each person would get three, and you wanted to split it by twos. Each person would get two and there would be two left. "
192,T,for which number now...for six?
199,S,Six. uh huh
206,T,So are you saying all numbers are odd then?
213,S,No I'm not saying all nymbers are odd but-
220,T,Which numbers are not odd then?
227,S,"Two, four, six- six can be odd or even-"
234,S,Because there's three twos. 
241,C,Prove to us that six can be odd. 
248,S,There's three twos
255,C,Prove to us that it can be odd. 
262,S,"Five, six… okay"
269,T,Does everybody understand what Sean's trying to argue? He's saying six could be even or it could be odd…Well watch what he's going to prove and then you can ask him a question about it. 
276,S,"Because, see this? (draws on the teacher’s diagram) There's two. Number two over here. Put that there. Put this here. There's two, two, and two. And that would make six. "
283,C,"I know, which is even. "
290,M,"Oh, I think I know what he's saying."
297,T,Mei? could you stay there? People have some questions for you.
304,M,"I think what he is saying is that it's almost- I think what he's saying is that you have three groups of two, and three is an odd number, so six can be an odd number and an even number."
311,T,"Do other people agree with that? Is that what you're saying, Sean?"
318,S,Yeah.
325,T,"Okay, do other people agree with him? Mei, you disagree with that?"
332,M,"Yeah, I disagree with that because it's not according to like- Here, can I show it on the board?"
339,T,Uh-huh.
346,M,It's not according to like how many groups it is.
353,T,"Riba, can you watch what Mei's doing?"
360,M,"Let's say that I have... Let's say- If you call six an odd number , why don't- "
367,S,And it can be an even.
374,M,"Let's see if I can find... Let's say ten. One, two... And here are ten circles. And then you would split them. Let's say I wanted to split them by twos. Go one, two... Well look- one, two, three, four, five. Then why do you not call ten a, like a-"
381,S,I disagree with myself.
388,M,"an odd number and an even number? Or why don't you call other, like, numbers an odd number and an even number?"
395,S,"I didn't think of it that way. Thank you for bringing it up. So, I say it's- Five- ten can be an odd and an even."
402,M,"Yeah, but what about- what about other numbers? Like, if you keep on going on like that and you say that other numbers are odd and even, maybe we'll end it up with all numbers are odd and even. Then it won't make sense that all numbers should be odd and even, because if all numbers were odd and even, we wouldn't be even having this discussion!"
